MaMDID,ThreeGroup,FourGroup,Ancestry,GeoOrigin,RegNation,Fregion,Population,ANS,INA,IOB,MT,NAS,NAW,NBC,NBS,NFS,NO,OBS,PBD,PS,PZT,SPS,TPS,ZS
157,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,4,2,2,1,2,,,,,1,0,,2,2,1,0
158,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,,,,,,,,,,,0,,,2,,
159,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,,3,,,,,,,,,0,,,2,,
160,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,3,2,2,1,2,0,1,1,1,3,0,,1,0,2,0
161,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,4,2,2,1,2,0,2,1,1,1,1,,2,0,2,0
162,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,2,2,1,1,2,1,2,1,1,1,0,,1,2,2,0
163,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,3,1,1,2,1,3,1,,3,0,,2,2,2,0
164,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,3,4,,0,,,,,1,,,0,,0,2,1,
165,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,2,2,0,1,2,0,2,2,1,2,,,1,0,,0
166,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,2,1,2,1,1,1,0,,0,0,,2
167,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,2,2,1,1,2,1,2,1,0,1,0,,1,2,4,0
168,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,3,3,3,0,1,2,0,3,2,0,1,0,,2,2,2,1
169,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,5,2,1,1,2,1,3,,1,3,0,,2,0,2,0
170,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,3,2,1,1,2,0,,1,,1,0,,1,0,4,0
171,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,3,4,2,2,1,2,1,2,2,0,1,,,1,0,2,0
172,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,2,1,2,0,2,4,1,1,0,,0,0,2,0
173,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,3,4,2,1,1,1,1,2,2,1,2,1,,1,0,2,1
174,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,2,0,2,1,0,1,0,,1,0,1,0
175,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,3,3,2,0,1,2,1,3,1,,1,0,,1,2,1,1
176,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,2,2,1,1,2,3,2,4,1,2,1,,1,0,2,0
177,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,4,2,1,1,2,1,1,2,,1,0,,1,2,,1
178,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,2,3,2,1,2,2,1,1,0,,1,0,3,0
179,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,,2,,,,0,,1,,1,0,,2,2,,
180,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,2,2,1,,2,1,2,1,1,1,0,,1,1,1,0
181,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,3,3,1,1,3,0,2,2,,2,0,,1,0,2,0
182,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,3,1,2,1,2,3,2,1,1,2,0,,1,0,2,0
183,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,3,2,1,2,1,2,1,2,2,0,1,0,,1,2,1,0
184,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,,2,,,,,,2,,,0,,,2,,
185,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,2,1,2,1,0,2,0,,2,0,2,0
186,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,2,0,2,1,1,3,0,,1,0,1,0
187,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,2,1,2,0,2,2,,1,1,,1,2,2,0
188,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,,2,,,,1,,2,,,0,,,0,,
189,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,2,2,2,1,2,3,2,2,1,1,0,,1,2,2,0
190,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,2,0,2,1,1,2,0,,1,0,2,0
191,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,2,0,2,1,1,1,,,2,2,2,0
192,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,3,2,1,1,2,2,2,2,0,1,0,,0,2,,0
193,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,,2,,,,2,2,,,0,,1,0,,0
194,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,2,2,2,1,2,0,2,2,1,1,0,,1,0,2,1
195,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,3,2,1,,,,2,1,,2,0,,1,0,2,0
196,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,4,2,2,1,2,1,3,1,1,1,0,,1,0,1,1
197,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,1,1,2,1,1,2,1,1,1,0,,2,0,2,0
198,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,3,5,2,1,1,1,1,1,1,1,3,0,,1,2,1,1
199,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,4,2,1,1,2,1,2,2,0,2,0,,2,2,,0
200,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,4,2,1,1,2,,2,4,0,1,0,,1,0,1,0
201,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,2,2,2,0,3,2,0,1,0,,2,0,1,0
202,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,3,2,,1,2,1,2,1,1,1,0,,1,0,1,1
203,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,2,,0,2,,,,,,2,0,,0,2,,0
