MaMDID,Group,ANS,INA,IOB,MT,NAW,NBC,NO,PBD,PZT,ZS
1,AfrAm,1,1,3,1,3,0,0,0,0,2
2,AfrAm,2,2,3,1,1,1,0,0,1,2
3,AfrAm,1,1,3,2,2,0,0,0,2,2
4,AfrAm,1,1,3,1,3,0,1,1,1,1
5,AfrAm,1,3,3,2,2,0,0,1,1,2
6,AfrAm,1,1,3,2,3,0,0,0,3,2
7,AfrAm,1,1,3,2,3,1,0,0,1,0
8,AfrAm,1,1,3,3,2,0,0,0,2,1
9,AfrAm,1,1,3,3,3,0,0,0,0,2
10,AfrAm,1,2,3,2,3,2,1,0,2,1
11,AfrAm,1,1,3,1,2,0,0,1,1,2
12,AfrAm,2,3,2,3,2,4,0,0,3,0
13,AfrAm,1,3,2,1,2,4,0,0,2,1
14,AfrAm,2,2,3,2,3,2,1,1,1,1
15,AfrAm,2,2,2,1,3,1,0,0,3,1
16,AfrAm,2,3,2,1,3,1,0,1,1,1
17,AfrAm,2,3,1,1,2,3,1,0,1,2
18,AfrAm,1,2,2,2,3,1,1,1,1,1
19,AfrAm,2,4,1,1,2,1,1,1,1,1
20,AfrAm,2,2,3,1,3,1,0,0,1,1
21,AfrAm,2,2,2,1,2,1,0,0,1,2
22,AfrAm,1,3,2,2,3,1,0,0,1,1
23,AfrAm,2,2,3,0,3,4,0,0,2,1
24,AfrAm,2,4,2,0,2,4,0,1,3,1
25,AfrAm,2,5,2,1,2,3,0,0,1,1
26,AfrAm,2,3,2,0,2,1,1,1,1,1
27,AfrAm,3,3,3,1,2,3,1,0,2,1
28,AfrAm,3,2,3,2,3,3,0,0,2,2
29,AfrAm,2,3,3,2,3,3,0,1,2,2
30,AfrAm,1,1,3,2,3,2,1,0,3,2
31,AfrAm,2,4,3,1,2,1,1,0,1,1
32,AfrAm,2,1,3,1,2,4,0,1,1,1
33,AfrAm,1,3,2,1,2,3,0,1,1,1
34,AfrAm,1,2,3,0,3,0,0,0,2,0
35,AfrAm,2,3,3,1,3,0,0,0,2,0
36,AfrAm,1,2,3,0,2,3,1,0,1,1
37,AfrAm,2,2,3,1,3,3,1,1,2,1
38,AfrAm,2,4,2,1,2,1,1,0,1,1
39,AfrAm,1,3,3,2,3,1,0,1,0,1
40,AfrAm,2,3,3,1,2,3,0,0,1,0
41,AfrAm,2,3,3,1,3,1,1,0,2,1
42,AfrAm,1,3,3,1,3,1,0,1,1,1
43,AfrAm,3,4,3,2,2,3,0,1,1,0
44,AfrAm,2,3,2,3,2,2,0,0,1,0
45,AfrAm,2,1,2,0,2,4,0,0,2,1
46,AfrAm,2,3,2,0,2,1,0,0,3,0
47,AfrAm,2,3,3,0,2,3,0,1,2,0
48,AfrAm,2,2,1,1,2,3,0,0,2,1
49,AfrAm,2,4,3,1,3,1,0,1,2,1
50,AfrAm,1,3,2,0,3,0,0,0,3,1
51,AfrAm,1,3,2,1,3,1,0,1,0,1
52,AfrAm,3,3,2,1,2,3,0,0,0,0
53,AfrAm,2,4,2,3,2,3,0,1,1,1
54,AfrAm,2,3,2,2,2,3,1,1,2,0
55,AfrAm,1,3,3,1,3,3,1,0,3,1
56,AfrAm,3,3,2,2,3,0,1,1,1,2
57,AfrAm,1,2,2,3,3,0,0,0,1,2
58,AfrAm,1,2,2,1,3,0,0,0,1,2
59,AfrAm,2,2,2,2,3,4,1,0,2,2
60,AfrAm,3,4,3,2,2,1,1,0,2,2
61,AfrAm,3,3,2,3,2,2,1,1,2,2
62,AfrAm,2,3,1,2,2,3,0,1,2,1
63,AfrAm,2,4,2,2,3,4,1,0,3,2
64,AfrAm,2,3,2,2,2,3,1,1,3,2
65,AfrAm,2,3,3,0,3,3,0,1,2,0
66,AfrAm,2,3,2,1,3,4,0,1,1,1
67,AfrAm,3,2,2,2,2,4,0,1,2,2
68,AfrAm,3,4,1,1,2,3,0,1,1,2
69,AfrAm,2,2,2,1,2,3,1,1,1,2
70,AfrAm,2,2,3,2,3,1,0,0,1,0
71,AfrAm,3,4,3,3,3,2,1,0,2,1
72,AfrAm,3,2,3,2,2,3,0,0,2,1
73,AfrAm,2,5,1,2,3,4,0,0,2,2
74,AfrAm,2,4,2,3,2,3,0,0,3,0
75,AfrAm,3,5,2,2,2,4,0,1,2,0
76,AfrAm,1,1,3,1,3,0,1,1,2,0
77,AfrAm,2,4,2,1,3,3,1,0,2,2
78,AfrAm,2,3,3,1,3,2,1,0,2,1
79,AfrAm,2,3,1,1,2,1,1,1,1,2
80,AfrAm,2,4,2,1,3,3,1,0,1,0
81,AfrAm,1,3,2,1,3,1,0,0,2,0
82,AfrAm,2,3,3,1,3,1,0,1,1,1
83,AfrAm,2,4,2,2,3,1,0,1,1,1
84,AfrAm,2,4,1,2,3,3,1,1,3,1
85,AfrAm,3,3,2,2,3,2,1,0,1,1
86,AfrAm,2,2,2,1,3,1,1,0,1,0
87,AfrAm,1,1,1,2,2,1,0,1,3,1
88,AfrAm,1,1,3,1,2,4,0,0,3,1
89,AfrAm,2,4,2,0,2,3,1,1,1,1
90,AfrAm,2,2,3,2,3,3,0,1,3,2
91,AfrAm,1,1,1,0,2,3,0,1,1,2
92,AfrAm,2,2,3,0,2,1,0,0,2,1
93,AfrAm,2,3,2,2,2,3,0,0,2,0
94,AfrAm,1,1,3,0,3,0,0,1,1,0
95,AfrAm,2,1,3,2,3,0,1,1,1,0
96,AfrAm,2,2,2,2,2,1,0,0,1,0
97,AfrAm,1,2,2,2,2,1,1,0,1,1
98,AfrAm,1,4,2,0,3,3,1,1,1,1
99,AfrAm,2,4,2,2,3,3,0,1,1,0
100,AfrAm,2,4,3,1,1,3,0,1,2,1
101,AfrAm,2,1,1,1,1,4,0,0,2,1
102,AfrAm,3,3,1,2,2,3,0,1,2,2
103,AfrAm,2,4,3,3,2,1,1,1,2,0
104,AfrAm,3,3,3,2,3,3,0,0,2,0
105,AfrAm,3,3,3,1,2,4,1,1,2,1
106,AfrAm,1,2,3,1,3,0,0,1,1,2
107,AfrAm,2,3,2,1,2,4,0,1,2,1
108,AfrAm,2,1,3,2,3,4,1,1,1,0
109,AfrAm,1,2,2,2,2,1,0,1,3,1
110,AfrAm,2,2,3,1,3,4,1,0,0,1
111,AfrAm,1,3,3,1,3,1,0,0,1,1
112,AfrAm,2,3,2,1,2,4,1,0,1,1
113,AfrAm,2,2,3,2,2,3,0,1,1,2
114,AfrAm,1,1,1,1,2,0,0,0,2,2
115,AfrAm,2,3,2,3,3,1,0,0,2,2
116,AfrAm,1,1,3,1,3,0,0,0,3,1
117,AfrAm,2,1,3,3,3,0,1,1,2,2
118,AfrAm,1,1,3,2,2,0,0,0,1,2
119,AfrAm,1,1,2,2,2,2,0,0,2,2
120,AfrAm,1,1,3,1,3,3,1,0,3,2
121,AfrAm,3,1,3,3,3,0,0,0,2,1
122,AfrAm,1,1,2,2,3,0,1,1,2,2
123,AfrAm,2,1,3,1,2,2,0,0,1,1
124,AfrAm,1,1,3,1,3,1,1,1,1,1
125,AfrAm,1,1,3,3,2,0,1,1,3,2
126,AfrAm,1,1,3,2,2,2,1,1,2,1
127,AfrAm,1,1,2,1,3,0,0,1,2,0
128,AfrAm,1,1,2,3,2,2,0,0,1,2
129,AfrAm,1,2,2,3,2,1,1,0,1,2
130,AfrAm,3,2,2,2,2,1,0,0,2,2
131,AfrAm,1,1,3,3,3,0,1,0,2,1
132,AfrAm,1,1,3,2,2,0,0,1,1,2
133,AfrAm,1,1,2,3,2,3,0,0,1,1
134,AfrAm,1,1,2,1,3,1,1,1,3,1
135,AfrAm,1,1,2,2,2,2,0,1,1,1
136,AfrAm,1,3,3,2,3,0,0,0,2,1
137,AfrAm,1,1,3,1,2,0,0,1,2,2
138,AfrAm,1,1,3,2,3,1,0,0,3,1
139,AfrAm,2,2,1,1,2,1,0,0,3,2
140,AfrAm,2,3,2,2,2,4,1,1,3,2
141,AfrAm,1,1,3,1,3,2,1,0,3,2
142,AfrAm,3,3,3,3,2,1,0,1,2,1
143,AfrAm,2,2,2,1,2,1,1,1,1,2
144,AfrAm,2,1,1,2,2,3,1,0,1,2
145,AfrAm,1,1,3,1,2,1,1,0,1,0
146,AfrAm,1,2,2,3,1,1,0,1,3,2
147,AfrAm,1,2,3,1,3,2,0,1,1,2
148,AfrAm,2,4,2,1,2,0,0,1,2,1
149,AfrAm,1,1,3,1,3,0,0,1,1,2
150,AfrAm,1,1,2,2,2,2,0,0,2,2
151,AfrAm,1,1,3,1,3,0,0,1,1,2
152,AfrAm,3,2,3,1,3,0,0,0,3,0
153,AfrAm,2,1,2,1,2,2,1,1,3,2
154,AfrAm,1,3,3,1,3,0,0,0,1,0
155,AfrAm,1,1,2,3,3,3,1,1,1,0
156,AfrAm,1,1,1,3,2,2,0,0,2,1
157,AfrAm,1,1,3,2,3,0,0,0,1,1
158,AfrAm,1,1,3,2,3,0,0,0,1,1
159,AfrAm,1,1,2,3,2,1,0,0,3,2
160,AfrAm,3,2,3,2,3,0,0,1,2,1
161,AfrAm,1,2,2,2,1,4,1,0,2,2
162,AfrAm,1,3,2,1,3,0,1,0,1,0
163,AfrAm,1,1,2,1,3,0,0,1,3,2
164,AfrAm,1,1,2,1,3,1,1,1,1,2
165,AfrAm,1,1,2,1,2,3,0,0,0,2
166,AfrAm,1,1,3,3,3,0,0,1,1,2
167,AfrAm,1,1,3,2,3,0,0,0,1,2
168,AfrAm,1,1,3,2,3,0,0,0,2,1
169,AfrAm,1,1,3,3,2,0,0,0,2,2
170,AfrAm,1,1,3,2,3,0,0,1,3,2
171,AfrAm,1,3,2,1,3,0,0,0,1,2
172,AfrAm,1,1,3,3,3,0,0,1,1,0
173,AfrAm,3,1,3,1,3,2,1,1,2,0
174,AfrAm,2,4,2,1,2,1,0,0,1,0
175,AfrAm,1,2,2,2,2,1,0,0,2,1
176,AfrAm,1,1,3,3,3,0,0,0,3,0
177,AfrAm,1,1,2,1,3,3,1,1,2,2
178,AfrAm,1,2,2,3,2,1,0,1,2,2
179,AfrAm,3,2,1,3,1,3,1,0,1,2
180,AfrAm,1,1,1,1,2,0,1,0,2,2
181,AfrAm,2,2,3,1,3,0,0,0,3,2
182,AfrAm,1,1,3,1,2,0,0,1,1,1
183,AfrAm,3,2,3,2,3,1,0,0,2,1
184,AfrAm,1,2,3,1,2,4,0,1,1,2
185,AfrAm,1,1,2,1,3,1,0,0,1,2
186,AfrAm,1,1,2,2,2,2,0,1,2,2
187,AfrAm,1,1,1,2,2,0,0,1,1,0
188,AfrAm,1,2,3,2,3,0,1,0,1,1
189,AfrAm,1,1,3,2,3,0,0,0,1,1
190,AfrAm,1,1,3,2,3,0,0,0,1,1
191,AfrAm,1,1,2,1,2,0,0,0,1,1
192,AfrAm,3,3,2,1,1,3,0,0,1,1
193,AfrAm,1,1,2,2,3,0,0,0,3,1
194,AfrAm,3,3,3,3,3,0,0,0,2,2
195,AfrAm,2,2,2,3,3,0,0,0,1,2
196,AfrAm,2,3,3,1,2,0,1,1,2,1
197,AfrAm,1,1,3,1,3,0,0,1,1,1
198,AfrAm,2,2,1,1,2,3,0,0,2,1
199,AfrAm,1,2,2,1,2,0,1,0,1,2
200,AfrAm,2,1,1,3,2,2,1,1,2,1
201,AfrAm,1,1,1,1,2,4,0,1,2,1
202,AfrAm,1,1,3,1,3,0,1,0,2,2
203,AfrAm,1,1,3,1,3,0,1,0,1,1
